config,model,num_narrative_agents,aggregation,validation,avg_api_calls,avg_cost_usd,avg_latency_sec,f1_samples
run_3_config,deepseek-chat,3,majority,False,1.0,0.0021,14.8817,
run_4_config,deepseek-chat,3,majority,False,1.0,0.0021,15.2943,
run_5_config,deepseek-chat,3,majority,False,1.0,0.0021,14.4508,
run_1_config,gpt-5-nano,3,majority,False,1.0,0.002,97.0542,
run_2_config,gpt-5-nano,3,majority,False,1.0,0.002,89.8613,
run_3_config,gpt-5-nano,3,majority,False,1.0,0.002,80.9706,
run_4_config,gpt-5-nano,3,majority,False,1.0,0.002,87.6849,
run_5_config,gpt-5-nano,3,majority,False,1.0,0.002,82.902,
run_1_config,gpt-5-nano,3,majority,False,1.0,0.002,14.0139,
run_2_config,gpt-5-nano,3,majority,False,1.0,0.002,14.3527,
run_3_config,gpt-5-nano,3,majority,False,1.0,0.002,14.5115,
run_4_config,gpt-5-nano,3,majority,False,1.0,0.002,16.6552,
run_5_config,gpt-5-nano,3,majority,False,1.0,0.002,15.1401,
run_1_config,gpt-5-nano,3,majority,False,1.0,0.002,105.7227,
run_2_config,gpt-5-nano,3,majority,False,1.0,0.002,89.563,
run_3_config,gpt-5-nano,3,majority,False,1.0,0.002,113.3907,
run_4_config,gpt-5-nano,3,majority,False,1.0,0.002,103.0841,
run_5_config,gpt-5-nano,3,majority,False,1.0,0.002,95.4214,
run_1_config,gpt-5-nano,3,majority,False,1.0,0.002,68.4076,
run_2_config,gpt-5-nano,3,majority,False,1.0,0.002,62.489,
run_3_config,gpt-5-nano,3,majority,False,1.0,0.002,64.5047,
run_4_config,gpt-5-nano,3,majority,False,1.0,0.002,69.135,
run_5_config,gpt-5-nano,3,majority,False,1.0,0.002,55.3024,
run_1_config,gpt-5-nano,3,majority,False,1.0,0.002,50.2174,
run_2_config,gpt-5-nano,3,majority,False,1.0,0.002,49.2028,
run_3_config,gpt-5-nano,3,majority,False,1.0,0.002,45.5564,
run_4_config,gpt-5-nano,3,majority,False,1.0,0.002,49.0961,
run_5_config,gpt-5-nano,3,majority,False,1.0,0.002,47.7496,
run_1_config,gpt-5-nano,3,majority,False,1.0,0.002,71.0458,
run_2_config,gpt-5-nano,3,majority,False,1.0,0.002,88.6757,
run_3_config,gpt-5-nano,3,majority,False,1.0,0.002,73.0938,
run_4_config,gpt-5-nano,3,majority,False,1.0,0.002,69.9273,
run_5_config,gpt-5-nano,3,majority,False,1.0,0.002,63.6225,
run_1_config,mistral-large-latest,3,majority,False,1.0,0.035,22.2229,
run_2_config,mistral-large-latest,3,majority,False,1.0,0.035,22.7777,
run_3_config,mistral-large-latest,3,majority,False,1.0,0.035,22.2394,
run_4_config,mistral-large-latest,3,majority,False,1.0,0.035,22.0846,
run_5_config,mistral-large-latest,3,majority,False,1.0,0.035,22.4,
run_1_config,mistral-large-latest,3,majority,False,1.0,0.035,3.1576,
run_2_config,mistral-large-latest,3,majority,False,1.0,0.035,3.3397,
run_3_config,mistral-large-latest,3,majority,False,1.0,0.035,2.9963,
run_4_config,mistral-large-latest,3,majority,False,1.0,0.035,3.1198,
run_5_config,mistral-large-latest,3,majority,False,1.0,0.035,3.1398,
run_1_config,mistral-large-latest,3,majority,False,1.0,0.035,20.8479,
run_1_config,mistral-large-latest,3,majority,False,1.0,0.035,3.1565,
run_2_config,mistral-large-latest,3,majority,False,1.0,0.035,3.1213,
run_3_config,mistral-large-latest,3,majority,False,1.0,0.035,2.9762,
run_4_config,mistral-large-latest,3,majority,False,1.0,0.035,3.0361,
run_5_config,mistral-large-latest,3,majority,False,1.0,0.035,3.1532,
run_1_config,mistral-large-latest,3,majority,False,1.0,0.035,43.9569,
run_2_config,mistral-large-latest,3,majority,False,1.0,0.035,26.0672,
run_3_config,mistral-large-latest,3,majority,False,1.0,0.035,26.0065,
run_4_config,mistral-large-latest,3,majority,False,1.0,0.035,26.7378,
run_5_config,mistral-large-latest,3,majority,False,1.0,0.035,26.2975,
run_1_config,mistral-large-latest,3,majority,False,1.0,0.035,13.3467,
run_2_config,mistral-large-latest,3,majority,False,1.0,0.035,13.299,
run_3_config,mistral-large-latest,3,majority,False,1.0,0.035,12.845,
run_4_config,mistral-large-latest,3,majority,False,1.0,0.035,13.0912,
run_5_config,mistral-large-latest,3,majority,False,1.0,0.035,12.9213,
run_1_config,mistral-large-latest,3,majority,False,1.0,0.035,18.2333,
run_2_config,mistral-large-latest,3,majority,False,1.0,0.035,18.7725,
run_3_config,mistral-large-latest,3,majority,False,1.0,0.035,19.1894,
run_4_config,mistral-large-latest,3,majority,False,1.0,0.035,17.5097,
run_5_config,mistral-large-latest,3,majority,False,1.0,0.035,19.325,
run_1_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,1.0,0.0,8.2958,
run_2_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,1.0,0.0,8.402,
run_3_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,1.0,0.0,8.4705,
run_4_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,1.0,0.0,5.6185,
run_5_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,1.0,0.0,6.1942,
run_1_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,1.0,0.0,2.8976,
run_2_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,1.0,0.0,2.7693,
run_3_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,1.0,0.0,3.0767,
run_4_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,1.0,0.0,3.6626,
run_5_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,1.0,0.0,3.364,
run_1_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,1.0,0.0,7.3723,
run_2_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,1.0,0.0,10.0906,
run_3_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,1.0,0.0,23.816,
run_4_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,1.0,0.0,14.5834,
run_5_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,1.0,0.0,9.3396,
run_1_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,1.0,0.0,5.494,
run_2_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,1.0,0.0,6.687,
run_3_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,1.0,0.0,6.8915,
run_4_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,1.0,0.0,8.414,
run_5_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,1.0,0.0,7.9774,
run_1_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,1.0,0.0,3.6879,
run_2_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,1.0,0.0,4.4679,
run_3_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,1.0,0.0,5.0677,
run_4_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,1.0,0.0,10.6937,
run_5_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,1.0,0.0,7.0231,
run_1_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,1.0,0.0,6.0349,
run_2_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,1.0,0.0,4.8078,
run_3_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,1.0,0.0,8.5657,
run_4_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,1.0,0.0,7.4898,
run_5_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,1.0,0.0,9.9422,
run_1_config,mistral-large-latest,3,intersection,False,1.0,0.035,5.1211,
run_2_config,mistral-large-latest,3,intersection,False,1.0,0.035,3.6985,
run_3_config,mistral-large-latest,3,intersection,False,1.0,0.035,4.8069,
run_4_config,mistral-large-latest,3,intersection,False,1.0,0.035,4.4237,
run_5_config,mistral-large-latest,3,intersection,False,1.0,0.035,3.957,
run_1_config,mistral-large-latest,3,intersection,False,1.0,0.035,2.8688,
run_2_config,mistral-large-latest,3,intersection,False,1.0,0.035,3.1292,
run_3_config,mistral-large-latest,3,intersection,False,1.0,0.035,3.5496,
run_4_config,mistral-large-latest,3,intersection,False,1.0,0.035,3.0225,
run_5_config,mistral-large-latest,3,intersection,False,1.0,0.035,2.9458,
run_1_config,mistral-large-latest,3,intersection,False,1.0,0.035,20.6024,
run_1_config,mistral-large-latest,3,intersection,False,1.0,0.035,3.2034,
run_2_config,mistral-large-latest,3,intersection,False,1.0,0.035,3.1843,
run_3_config,mistral-large-latest,3,intersection,False,1.0,0.035,3.0749,
run_4_config,mistral-large-latest,3,intersection,False,1.0,0.035,3.1359,
run_5_config,mistral-large-latest,3,intersection,False,1.0,0.035,3.1811,
run_1_config,mistral-large-latest,3,intersection,False,1.0,0.035,4.7536,
run_2_config,mistral-large-latest,3,intersection,False,1.0,0.035,5.7005,
run_3_config,mistral-large-latest,3,intersection,False,1.0,0.035,4.7701,
run_4_config,mistral-large-latest,3,intersection,False,1.0,0.035,4.6515,
run_5_config,mistral-large-latest,3,intersection,False,1.0,0.035,5.0087,
run_1_config,mistral-large-latest,3,intersection,False,1.0,0.035,2.2709,
run_2_config,mistral-large-latest,3,intersection,False,1.0,0.035,2.2865,
run_3_config,mistral-large-latest,3,intersection,False,1.0,0.035,2.5534,
run_4_config,mistral-large-latest,3,intersection,False,1.0,0.035,2.2401,
run_5_config,mistral-large-latest,3,intersection,False,1.0,0.035,2.1196,
run_1_config,mistral-large-latest,3,intersection,False,1.0,0.035,3.6778,
run_2_config,mistral-large-latest,3,intersection,False,1.0,0.035,4.0864,
run_3_config,mistral-large-latest,3,intersection,False,1.0,0.035,3.7583,
run_4_config,mistral-large-latest,3,intersection,False,1.0,0.035,3.8354,
run_5_config,mistral-large-latest,3,intersection,False,1.0,0.035,3.565,
run_1_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,intersection,False,1.0,0.0,5.4984,
run_2_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,intersection,False,1.0,0.0,4.0791,
run_3_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,intersection,False,1.0,0.0,4.1299,
run_4_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,intersection,False,1.0,0.0,1.9743,
run_5_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,intersection,False,1.0,0.0,2.5504,
run_1_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,intersection,False,1.0,0.0,7.026,
run_2_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,intersection,False,1.0,0.0,7.5257,
run_3_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,intersection,False,1.0,0.0,7.1329,
run_4_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,intersection,False,1.0,0.0,6.9705,
run_5_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,intersection,False,1.0,0.0,6.2656,
run_1_config,deepseek-chat,3,union,False,1.0,0.0021,18.267,
run_2_config,deepseek-chat,3,union,False,1.0,0.0021,16.7622,
run_3_config,deepseek-chat,3,union,False,1.0,0.0021,15.629,
run_4_config,deepseek-chat,3,union,False,1.0,0.0021,15.5976,
run_5_config,deepseek-chat,3,union,False,1.0,0.0021,15.3709,
run_1_config,gpt-5-nano,3,union,False,1.0,0.002,188.1043,
run_2_config,gpt-5-nano,3,union,False,1.0,0.002,242.3692,
run_3_config,gpt-5-nano,3,union,False,1.0,0.002,213.7381,
run_4_config,gpt-5-nano,3,union,False,1.0,0.002,220.865,
run_5_config,gpt-5-nano,3,union,False,1.0,0.002,209.5912,
run_1_config,gpt-5-nano,3,union,False,1.0,0.002,108.7727,
run_2_config,gpt-5-nano,3,union,False,1.0,0.002,112.8748,
run_3_config,gpt-5-nano,3,union,False,1.0,0.002,104.5975,
run_4_config,gpt-5-nano,3,union,False,1.0,0.002,116.1635,
run_5_config,gpt-5-nano,3,union,False,1.0,0.002,110.6163,
run_1_config,mistral-large-latest,3,union,False,1.0,0.035,3.511,
run_2_config,mistral-large-latest,3,union,False,1.0,0.035,3.313,
run_3_config,mistral-large-latest,3,union,False,1.0,0.035,3.4888,
run_4_config,mistral-large-latest,3,union,False,1.0,0.035,3.1898,
run_5_config,mistral-large-latest,3,union,False,1.0,0.035,3.3482,
run_1_config,mistral-large-latest,3,union,False,1.0,0.035,21.0494,
run_2_config,mistral-large-latest,3,union,False,1.0,0.035,23.0345,
run_3_config,mistral-large-latest,3,union,False,1.0,0.035,21.3515,
run_4_config,mistral-large-latest,3,union,False,1.0,0.035,22.4957,
run_5_config,mistral-large-latest,3,union,False,1.0,0.035,21.8453,
run_1_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,union,False,1.0,0.0,4.8835,
run_2_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,union,False,1.0,0.0,3.9293,
run_3_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,union,False,1.0,0.0,2.5085,
run_4_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,union,False,1.0,0.0,2.4434,
run_5_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,union,False,1.0,0.0,1.9675,
run_1_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,union,False,1.0,0.0,9.8711,
run_2_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,union,False,1.0,0.0,13.1933,
run_3_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,union,False,1.0,0.0,9.0352,
run_4_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,union,False,1.0,0.0,7.3712,
run_5_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,union,False,1.0,0.0,10.6378,
run_1_config,deepseek-chat,1,union,False,1.0,0.0013,1.7604,
run_2_config,deepseek-chat,1,union,False,1.0,0.0013,1.9047,
run_3_config,deepseek-chat,1,union,False,1.0,0.0013,2.0017,
run_4_config,deepseek-chat,1,union,False,1.0,0.0013,1.9684,
run_5_config,deepseek-chat,1,union,False,1.0,0.0013,2.1298,
run_1_config,deepseek-chat,1,union,False,1.0,0.0013,1.9988,
run_2_config,deepseek-chat,1,union,False,1.0,0.0013,1.8384,
run_3_config,deepseek-chat,1,union,False,1.0,0.0013,1.8238,
run_4_config,deepseek-chat,1,union,False,1.0,0.0013,1.8953,
run_5_config,deepseek-chat,1,union,False,1.0,0.0013,1.9829,
run_1_config,deepseek-chat,1,union,False,1.0,0.0013,1.955,
run_2_config,deepseek-chat,1,union,False,1.0,0.0013,1.7497,
run_3_config,deepseek-chat,1,union,False,1.0,0.0013,1.6331,
run_4_config,deepseek-chat,1,union,False,1.0,0.0013,1.5054,
run_5_config,deepseek-chat,1,union,False,1.0,0.0013,1.4865,
run_1_config,deepseek-chat,1,union,False,1.0,0.0013,11.3356,
run_1_config,deepseek-chat,1,union,False,1.0,0.0013,1.8128,
run_2_config,deepseek-chat,1,union,False,1.0,0.0013,1.7313,
run_3_config,deepseek-chat,1,union,False,1.0,0.0013,1.6112,
run_4_config,deepseek-chat,1,union,False,1.0,0.0013,1.564,
run_5_config,deepseek-chat,1,union,False,1.0,0.0013,1.4459,
run_1_config,deepseek-chat,1,union,False,1.0,0.0013,1.8012,
run_2_config,deepseek-chat,1,union,False,1.0,0.0013,1.7367,
run_3_config,deepseek-chat,1,union,False,1.0,0.0013,2.3581,
run_4_config,deepseek-chat,1,union,False,1.0,0.0013,2.2461,
run_5_config,deepseek-chat,1,union,False,1.0,0.0013,2.405,
run_1_config,deepseek-chat,1,union,False,1.0,0.0013,6.5494,
run_2_config,deepseek-chat,1,union,False,1.0,0.0013,7.0453,
run_3_config,deepseek-chat,1,union,False,1.0,0.0013,9.1891,
run_4_config,deepseek-chat,1,union,False,1.0,0.0013,6.2268,
run_5_config,deepseek-chat,1,union,False,1.0,0.0013,7.0671,
run_1_config,deepseek-chat,1,union,False,1.0,0.0013,1.2025,
run_2_config,deepseek-chat,1,union,False,1.0,0.0013,1.1459,
run_3_config,deepseek-chat,1,union,False,1.0,0.0013,1.5432,
run_4_config,deepseek-chat,1,union,False,1.0,0.0013,1.2328,
run_5_config,deepseek-chat,1,union,False,1.0,0.0013,1.4898,
run_1_config,deepseek-chat,1,union,False,1.0,0.0013,2.1874,
run_2_config,deepseek-chat,1,union,False,1.0,0.0013,2.0209,
run_3_config,deepseek-chat,1,union,False,1.0,0.0013,1.8625,
run_4_config,deepseek-chat,1,union,False,1.0,0.0013,1.9829,
run_5_config,deepseek-chat,1,union,False,1.0,0.0013,2.1444,
run_1_config,deepseek-chat,1,union,False,1.0,0.0013,2.2643,
run_2_config,deepseek-chat,1,union,False,1.0,0.0013,2.1784,
run_3_config,deepseek-chat,1,union,False,1.0,0.0013,2.321,
run_4_config,deepseek-chat,1,union,False,1.0,0.0013,1.9837,
run_5_config,deepseek-chat,1,union,False,1.0,0.0013,1.9542,
run_1_config,gemini-2.5-flash,1,union,False,1.0,0.0009,1.5879,
run_2_config,gemini-2.5-flash,1,union,False,1.0,0.0009,1.6111,
run_3_config,gemini-2.5-flash,1,union,False,1.0,0.0009,1.5447,
run_4_config,gemini-2.5-flash,1,union,False,1.0,0.0009,1.5831,
run_5_config,gemini-2.5-flash,1,union,False,1.0,0.0009,1.7431,
run_1_config,gemini-2.5-flash,1,union,False,1.0,0.0009,4.5798,
run_2_config,gemini-2.5-flash,1,union,False,1.0,0.0009,4.5742,
run_3_config,gemini-2.5-flash,1,union,False,1.0,0.0009,4.5745,
run_4_config,gemini-2.5-flash,1,union,False,1.0,0.0009,4.5797,
run_5_config,gemini-2.5-flash,1,union,False,1.0,0.0009,23.6624,
run_1_config,gpt-5-nano,1,union,False,1.0,0.0012,50.7965,
run_2_config,gpt-5-nano,1,union,False,1.0,0.0012,51.3051,
run_3_config,gpt-5-nano,1,union,False,1.0,0.0012,52.0462,
run_4_config,gpt-5-nano,1,union,False,1.0,0.0012,40.3266,
run_5_config,gpt-5-nano,1,union,False,1.0,0.0012,48.0318,
run_1_config,gpt-5-nano,1,union,False,1.0,0.0012,52.1066,
run_2_config,gpt-5-nano,1,union,False,1.0,0.0012,50.1865,
run_3_config,gpt-5-nano,1,union,False,1.0,0.0012,55.8695,
run_4_config,gpt-5-nano,1,union,False,1.0,0.0012,51.8082,
run_5_config,gpt-5-nano,1,union,False,1.0,0.0012,51.1633,
run_1_config,mistral-large-latest,1,union,False,1.0,0.021,18.5528,
run_2_config,mistral-large-latest,1,union,False,1.0,0.021,18.5475,
run_3_config,mistral-large-latest,1,union,False,1.0,0.021,19.4575,
run_4_config,mistral-large-latest,1,union,False,1.0,0.021,18.0224,
run_5_config,mistral-large-latest,1,union,False,1.0,0.021,18.3886,
run_1_config,mistral-large-latest,1,union,False,1.0,0.021,3.0334,
run_2_config,mistral-large-latest,1,union,False,1.0,0.021,3.0148,
run_3_config,mistral-large-latest,1,union,False,1.0,0.021,2.6064,
run_4_config,mistral-large-latest,1,union,False,1.0,0.021,2.8195,
run_5_config,mistral-large-latest,1,union,False,1.0,0.021,2.8425,
run_1_config,mistral-large-latest,1,union,False,1.0,0.021,16.8845,
run_1_config,mistral-large-latest,1,union,False,1.0,0.021,2.9623,
run_2_config,mistral-large-latest,1,union,False,1.0,0.021,3.0362,
run_3_config,mistral-large-latest,1,union,False,1.0,0.021,2.8417,
run_4_config,mistral-large-latest,1,union,False,1.0,0.021,2.7783,
run_5_config,mistral-large-latest,1,union,False,1.0,0.021,2.9454,
run_1_config,mistral-large-latest,1,union,False,1.0,0.021,20.063,
run_2_config,mistral-large-latest,1,union,False,1.0,0.021,19.5406,
run_3_config,mistral-large-latest,1,union,False,1.0,0.021,20.2871,
run_4_config,mistral-large-latest,1,union,False,1.0,0.021,20.5156,
run_5_config,mistral-large-latest,1,union,False,1.0,0.021,32.5908,
run_1_config,mistral-large-latest,1,union,False,1.0,0.021,9.5946,
run_2_config,mistral-large-latest,1,union,False,1.0,0.021,10.3409,
run_3_config,mistral-large-latest,1,union,False,1.0,0.021,9.7959,
run_4_config,mistral-large-latest,1,union,False,1.0,0.021,10.0888,
run_5_config,mistral-large-latest,1,union,False,1.0,0.021,10.8566,
run_1_config,mistral-large-latest,1,union,False,1.0,0.021,14.6787,
run_2_config,mistral-large-latest,1,union,False,1.0,0.021,14.9364,
run_3_config,mistral-large-latest,1,union,False,1.0,0.021,16.0418,
run_4_config,mistral-large-latest,1,union,False,1.0,0.021,14.4635,
run_5_config,mistral-large-latest,1,union,False,1.0,0.021,15.0326,
run_1_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,1,union,False,1.0,0.0,5.5834,
run_2_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,1,union,False,1.0,0.0,4.3405,
run_3_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,1,union,False,1.0,0.0,3.9337,
run_4_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,1,union,False,1.0,0.0,7.5722,
run_5_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,1,union,False,1.0,0.0,5.9788,
run_1_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,1,union,False,1.0,0.0,5.7487,
run_2_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,1,union,False,1.0,0.0,18.8175,
run_3_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,1,union,False,1.0,0.0,11.7117,
run_4_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,1,union,False,1.0,0.0,5.3518,
run_5_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,1,union,False,1.0,0.0,4.4244,
